ds,y
2005-05-18,5103
2005-05-19,18134
2005-05-20,19441
2005-05-21,26043
2005-05-22,27775
2005-05-23,35841
2005-05-24,15622
2005-05-25,14323
2005-05-26,14690
2005-05-27,16858
2005-05-28,43609
2005-05-29,45259
2005-05-30,41452
2005-05-31,12481
2005-06-01,8669
2005-06-02,4922
2005-06-03,12283
2005-06-04,24011
2005-06-05,59577
2005-06-06,60666
2005-06-07,15690
2005-06-08,8801
2005-06-09,13380
2005-06-10,2805
2005-06-11,21036
2005-06-12,30467
2005-06-13,9455
2005-06-14,10262
2005-06-15,4713
2005-06-16,7806
2005-06-17,11823
2005-06-18,17387
2005-06-19,27243
2005-06-20,8423
2005-06-21,8291
2005-06-22,5800
2005-06-23,6862
2005-06-24,8074
2005-06-25,19533
2005-06-26,17225
2005-06-27,2677
2005-06-28,3276
2005-06-29,1554
2005-06-30,3087
2005-07-01,702
2005-07-02,3466
2005-07-03,1397
2005-07-04,3141
2005-07-05,3641
2005-07-06,2905
2005-07-07,2758
2005-07-08,3477
2005-07-09,2406
2005-07-10,13994
2005-07-11,3016
2005-07-12,3190
2005-07-13,2914
2005-07-14,4704
2005-07-15,3350
2005-07-16,10051
2005-07-17,14711
2005-07-18,6522
2005-07-19,4426
2005-07-20,4079
2005-07-21,3441
2005-07-22,4235
2005-07-23,7927
2005-07-24,8326
2005-07-25,4452
2005-07-26,4158
2005-07-27,5045
2005-07-28,1852
2005-07-29,6903
2005-07-30,15077
2005-07-31,20588
2005-08-01,12809
2005-08-02,17200
2005-08-03,8239
2005-08-04,11111
2005-08-05,10059
2005-08-06,11236
2005-08-07,13603
2005-08-08,6357
2005-08-09,5329
2005-08-10,4520
2005-08-11,2975
2005-08-12,7376
2005-08-13,17783
2005-08-14,24876
2005-08-15,25850
2005-08-16,7749
2005-08-17,4790
2005-08-18,3801
2005-08-19,1777
2005-08-20,16511
2005-08-21,28839
2005-08-22,9380
2005-08-23,9238
2005-08-24,5915
2005-08-25,1356
2005-08-26,7350
2005-08-27,25089
2005-08-28,24827
2005-08-29,8207
2005-08-30,4829
2005-08-31,4952
2005-09-01,3934
2005-09-02,2620
2005-09-03,11546
2005-09-04,21885
2005-09-05,6785
2005-09-06,3167
2005-09-07,3427
2005-09-08,5637
2005-09-09,3444
2005-09-10,28720
2005-09-11,24557
2005-09-12,6781
2005-09-13,2511
2005-09-14,3936
2005-09-15,5906
2005-09-16,4271
2005-09-17,972
2005-09-18,20111
2005-09-19,30264
2005-09-20,14950
2005-09-21,2379
2005-09-22,2963
2005-09-23,12936
2005-09-24,25820
2005-09-25,33657
2005-09-26,10979
2005-09-27,12436
2005-09-28,11077
2005-09-29,14074
2005-09-30,3165
2005-10-01,5138
2005-10-02,39604
2005-10-03,45619
2005-10-04,14020
2005-10-05,11743
2005-10-06,19052
2005-10-07,6503
2005-10-08,15803
2005-10-09,31861
2005-10-10,13888
2005-10-11,20812
2005-10-12,15082
2005-10-13,23464
2005-10-14,13525
2005-10-15,19772
2005-10-16,33102
2005-10-17,14390
2005-10-18,15515
2005-10-19,12809
2005-10-20,11415
2005-10-21,12930
2005-10-22,23253
2005-10-23,28276
2005-10-24,11365
2005-10-25,11018
2005-10-26,8209
2005-10-27,14076
2005-10-28,7088
2005-10-29,14790
2005-10-30,20809
2005-10-31,11092
2005-11-01,8432
2005-11-02,8633
2005-11-03,8291
2005-11-04,9750
2005-11-05,19339
2005-11-06,19789
2005-11-07,7976
2005-11-08,5461
2005-11-09,4475
2005-11-10,4126
2005-11-11,5149
2005-11-12,12504
2005-11-13,17418
2005-11-14,5212
2005-11-15,1808
2005-11-16,1897
2005-11-17,1884
2005-11-18,1659
2005-11-19,3884
2005-11-20,8372
2005-11-21,2848
2005-11-22,1357
2005-11-23,1857
2005-11-24,1652
